Resort,Resort Region,year,totalSnow,snowDays,baseDepth,summitDepth,maxBaseDepth,biggestSnowfall,Avg Snow Day
49-degrees-north,washington,2012,313.00016902,60,32.316990876362496,66.896942980914,63.00003402000001,21.000011340000004,5.216669483666666
49-degrees-north,washington,2013,154.00008316000003,55,23.739766756475,44.0687077222723,54.000029160000004,11.000005940000001,2.8000015120000006
49-degrees-north,washington,2014,57.00003078,21,7.6405503857375,16.530065852226947,28.000015120000004,8.00000432,2.7142871800000004
49-degrees-north,washington,2015,167.00009018,49,42.685426593425,64.65840231301623,92.00004968,12.000006480000001,3.4081651057142857
49-degrees-north,washington,2016,283.00015282000004,52,39.4477427584625,65.13886818901837,126.00006804000002,19.00001026,5.4423106311538465
49-degrees-north,washington,2017,364.00019656,64,32.6435756983875,62.308462986029575,67.00003618000001,26.000014040000003,5.68750307125
49-degrees-north,washington,2018,252.00013608000003,46,55.031944087312496,73.95478878976976,127.00006858,16.00000864,5.478263827826088
49-degrees-north,washington,2019,188.00010152000002,44,21.785434992475,38.65464319083389,85.0000459,19.00001026,4.27272958
49-degrees-north,washington,2020,117.00006317999998,34,38.704459876775005,65.4704898995,75.00004050000001,11.000005940000001,3.441178328823529
49-degrees-north,washington,2021,166.00008964,49,34.394959518149996,46.479430689927746,160.0000864,13.000007020000002,3.3877569314285716
49-degrees-north,washington,2022,303.00016361999997,71,42.5975279239125,72.96107836,80.0000432,15.000008100000002,4.267607938309859
afton-alps,minnesota,2012,58.00003132,16,21.384081429287498,26.883079032983865,39.00002106,15.000008100000002,3.6250019575
afton-alps,minnesota,2013,83.00004482,37,28.550123684775002,40.954714600468364,68.00003672,6.000003240000001,2.2432444545945947
afton-alps,minnesota,2014,35.00001890000001,21,14.548177147350001,25.79096473103699,30.000016200000005,3.0000016200000004,1.666667566666667
afton-alps,minnesota,2015,27.000014580000006,10,12.5251494801125,20.15493699203449,35.00001890000001,11.000005940000001,2.7000014580000005
afton-alps,minnesota,2016,29.00001566,8,9.692928462525,25.792765997551903,24.000012960000003,7.000003780000001,3.6250019575
afton-alps,minnesota,2017,42.00002268000001,11,9.9679236897625,29.64927268205391,24.000012960000003,11.000005940000001,3.8181838800000008
afton-alps,minnesota,2018,56.000030239999994,16,10.9519301266375,34.3565890653686,30.000016200000005,7.000003780000001,3.5000018899999996
afton-alps,minnesota,2019,34.00001836,11,11.2857196769625,14.659098825000001,24.000012960000003,6.000003240000001,3.09091076
afton-alps,minnesota,2020,38.00002052000001,16,6.000003240000001,11.850006399000003,12.000006480000001,6.000003240000001,2.3750012825000004
afton-alps,minnesota,2021,19.000010259999996,7,12.2232201832125,8.075897218125,40.0000216,5.0000027,2.7142871799999995
afton-alps,minnesota,2022,69.00003726,20,7.875004252500001,6.8079746907971,36.00001944,16.00000864,3.450001863
alpental,washington,2012,580.0003132000002,67,64.80717082262501,108.14933835452823,116.00006264,35.00001890000001,8.656721092537316
alpental,washington,2013,258.00013932,41,48.14508505345,91.08347372421979,118.00006372000001,27.000014580000002,6.29268632487805
alpental,washington,2014,27.000014580000002,5,13.9600469085,23.571289642365137,43.00002322,10.0000054,5.400002916
alpental,washington,2015,379.00020466,58,63.84304628625,93.39999382544978,405.00021870000006,27.000014580000002,6.534486287241379
alpental,washington,2016,304.00016416,58,61.02769043525,107.76042264075545,134.00007236000002,19.00001026,5.241382140689655
alpental,washington,2017,337.00018198,62,68.737438693,129.37757191639628,129.00006966,19.00001026,5.435486806129032
alpental,washington,2018,218.00011772000002,39,44.024876135625,85.7391659651903,111.00005994,28.000015120000004,5.589746608205129
alpental,washington,2019,329.00017766,43,37.2098380066875,71.91018306224713,106.00005724,28.000015120000004,7.651166922325582
alpental,washington,2020,374.00020196,44,61.073408963875,105.72597112361413,162.00008748000002,26.000014040000003,8.500004590000001
alpental,washington,2021,462.00024948000004,56,54.107165044625006,76.12066322495161,114.00006156,26.000014040000003,8.250004455000001
alpental,washington,2022,429.00023166000005,78,43.81970870200001,82.63717457931469,106.00005724,22.000011880000002,5.500002970000001
alpine-valley,ohio,2012,14.000007560000002,3,5.2918975426625,6.383471189008065,18.00000972,6.000003240000001,4.666669186666668
alpine-valley,ohio,2013,64.00003456,20,12.000006480000001,10.88952200937097,24.000012960000003,11.000005940000001,3.200001728
alpine-valley,ohio,2014,83.00004482,23,10.272471098312499,10.596324725589334,30.000016200000005,10.0000054,3.608697600869565
alpine-valley,ohio,2015,95.00005130000001,18,10.232766352462502,9.55094559637931,30.000016200000005,12.000006480000001,5.277780627777778
alpine-valley,ohio,2016,83.00004482,20,14.473211555687502,14.63988096350796,36.00001944,10.0000054,4.150002241
alpine-valley,ohio,2017,38.00002052,9,12.7983927379,15.967750558064516,48.000025920000006,10.0000054,4.222224502222222
alpine-valley,ohio,2018,6.000003240000001,3,10.5833374079125,13.782139103793106,36.00001944,3.0000016200000004,2.00000108
alpine-valley,ohio,2019,25.0000135,8,9.400005076000001,9.212504974750004,24.000012960000003,5.0000027,3.1250016875
alpine-valley,ohio,2020,3.0000016200000004,2,2.6250014175000005,3.42857328,12.000006480000001,2.00000108,1.5000008100000002
alpine-valley,ohio,2021,4.00000216,3,7.1416721635875,6.518185337999999,20.0000108,2.00000108,1.3333340533333333
alpine-valley,ohio,2022,0.0,0,9.771294646575,7.392528805859183,21.000011340000004,0.0,
alpine-valley-resort,wisconsin,2012,7.000003780000001,3,8.459167953775,17.2205013023186,24.000012960000003,4.00000216,2.333334593333334
alpine-valley-resort,wisconsin,2013,38.00002052000001,14,16.0090194716375,23.31226429686318,40.0000216,6.000003240000001,2.7142871800000004
alpine-valley-resort,wisconsin,2014,6.000003240000001,2,13.454938368025001,16.930245148020045,30.000016200000005,3.0000016200000004,3.0000016200000004
alpine-valley-resort,wisconsin,2015,3.0000016200000004,1,12.2701690274625,12.27016791620968,30.000016200000005,3.0000016200000004,3.0000016200000004
alpine-valley-resort,wisconsin,2016,0.0,0,11.404528796237502,11.200363191050002,23.00001242,0.0,
alpine-valley-resort,wisconsin,2017,3.0000016200000004,1,11.6664187014375,11.543061788805558,25.0000135,3.0000016200000004,3.0000016200000004
alpine-valley-resort,wisconsin,2018,22.00001188,4,11.060512862437502,12.011234388595321,22.000011880000002,7.000003780000001,5.50000297
alpine-valley-resort,wisconsin,2019,3.0000016200000004,1,11.434026843662503,11.726607317586206,20.0000108,3.0000016200000004,3.0000016200000004
alpine-valley-resort,wisconsin,2020,17.00000918,9,4.373206101687501,9.11011506103415,10.0000054,3.0000016200000004,1.8888899088888889
alpine-valley-resort,wisconsin,2021,42.00002268000001,17,8.788572659212502,11.064457332269798,18.00000972,3.0000016200000004,2.470589569411765
alpine-valley-resort,wisconsin,2022,53.00002862,9,7.640102550850001,9.7097033408383,17.00000918,8.00000432,5.8888920688888895
alpine-valley-ski-area,michigan,2012,1.00000054,1,14.750007965,14.481666717876513,33.00001782,1.00000054,1.00000054
alpine-valley-ski-area,michigan,2013,52.00002808000001,13,19.048396112900004,25.866373414838712,32.00001728,8.00000432,4.00000216
alpine-valley-ski-area,michigan,2014,9.00000486,2,7.266130892212501,19.650106617196236,18.00000972,8.00000432,4.50000243
alpine-valley-ski-area,michigan,2015,1.00000054,1,12.146842189212503,12.464358582601847,40.0000216,1.00000054,1.00000054
alpine-valley-ski-area,michigan,2016,0.0,0,11.1594154749,11.102458117477354,40.0000216,0.0,
alpine-valley-ski-area,michigan,2017,0.0,0,9.309758964275002,9.107147775000001,25.0000135,0.0,
alpine-valley-ski-area,michigan,2018,0.0,0,8.41616596205,14.001699904517972,24.000012960000003,0.0,
alpine-valley-ski-area,michigan,2019,3.0000016200000004,2,7.500004050000001,10.98373608994445,12.000006480000001,2.00000108,1.5000008100000002
alpine-valley-ski-area,michigan,2020,3.0000016200000004,2,6.923320667725001,9.16807217764706,16.00000864,2.00000108,1.5000008100000002
alpine-valley-ski-area,michigan,2021,17.00000918,6,12.3750066825,11.795296224528988,30.000016200000005,7.000003780000001,2.833334863333333
alpine-valley-ski-area,michigan,2022,0.0,0,9.957470928212501,9.04526350512931,25.0000135,0.0,
alta-ski-area,utah,2012,366.00019764000007,76,50.317005517625006,51.824643960715065,113.00006102,17.00000918,4.815792074210528
alta-ski-area,utah,2013,353.00019062,68,64.4466440531375,60.48155147722447,124.00006696,14.000007560000002,5.191179273823529
alta-ski-area,utah,2014,278.00015012,56,44.06746474130001,41.636032432933405,90.0000486,19.00001026,4.964288395
alta-ski-area,utah,2015,286.00015444,60,51.230450892774996,50.72319201787264,116.00006264,19.00001026,4.766669240666667
alta-ski-area,utah,2016,304.00016416,55,63.98556604825,62.89402717832214,145.0000783,19.00001026,5.527275712
alta-ski-area,utah,2017,190.00010260000005,42,53.584999408325004,51.33734485903736,115.00006210000002,15.000008100000002,4.523811966666668
alta-ski-area,utah,2018,656.0003542400001,92,73.946348986125,73.16881831298387,180.0000972,27.000014580000002,7.13043863304348
alta-ski-area,utah,2019,326.00017604,53,50.05288135925,48.88824247305159,134.00007236000002,24.000012960000003,6.150946717735849
alta-ski-area,utah,2020,330.0001782,52,47.992363514287504,49.61729591000768,116.00006264,27.000014580000002,6.346157273076923
alta-ski-area,utah,2021,307.00016578000003,57,56.9654982810375,56.95950656456854,114.00006156,24.000012960000003,5.3859678207017545
alta-ski-area,utah,2022,743.0004012200001,90,97.67795628937502,98.07692362036276,222.00011988,27.000014580000002,8.255560013555556
alyeska-resort,alaska,2012,498.00026892000005,60,21.609686866075,84.1287449766136,55.0000297,35.00001890000001,8.300004482
alyeska-resort,alaska,2013,310.00016740000007,51,11.191177303075,47.46937087154166,37.000019980000005,25.0000135,6.078434654901962
alyeska-resort,alaska,2014,212.00011448,44,4.491434511987499,41.6345451284552,14.000007560000002,16.00000864,4.818184420000001
alyeska-resort,alaska,2015,794.0004287600001,94,8.0904915735875,90.63440501720314,53.00002862,32.00001728,8.446813071914894
alyeska-resort,alaska,2016,385.0002079,57,17.3313134927625,48.38787158153818,50.000027,26.000014040000003,6.754389612280702
alyeska-resort,alaska,2017,355.0001917,68,9.009059983,60.07090360907148,32.00001728,24.000012960000003,5.220591054411765
alyeska-resort,alaska,2018,445.0002403000001,66,10.778683970092501,59.057637145901225,276.00014904,24.000012960000003,6.742427883333335
alyeska-resort,alaska,2019,266.00014364000003,48,13.972930773725,43.9435602855463,234.00012636000002,20.0000108,5.541669659166668
alyeska-resort,alaska,2020,243.00013122,29,24.414565349212502,80.86363018946273,91.00004914,31.00001674,8.379314869655172
alyeska-resort,alaska,2021,530.0002862,68,25.1753925317125,114.62189449307584,54.000029160000004,48.000025920000006,7.794121855882353
alyeska-resort,alaska,2022,478.00025812,71,33.6353675725375,66.27424195265048,2223.0012004200003,26.000014040000003,6.732398001690141
andes-tower-hills-ski-area,minnesota,2012,101.00005454,23,7.562789516974999,14.592269784583335,20.0000108,12.000006480000001,4.3913067191304345
andes-tower-hills-ski-area,minnesota,2013,37.000019980000005,15,14.662591579212503,12.35052510245968,66.00003564,5.0000027,2.466667998666667
andes-tower-hills-ski-area,minnesota,2014,10.0000054,8,9.392377119125001,18.976167329873768,20.0000108,2.00000108,1.250000675
andes-tower-hills-ski-area,minnesota,2015,11.000005940000001,5,6.250003375,13.532334893663796,10.0000054,4.00000216,2.2000011880000003
andes-tower-hills-ski-area,minnesota,2016,11.000005940000001,6,7.5865444510625,19.44231819115385,18.00000972,2.00000108,1.8333343233333335
andes-tower-hills-ski-area,minnesota,2017,0.0,0,7.250003915,27.61112602111112,16.00000864,0.0,
andes-tower-hills-ski-area,minnesota,2018,70.00003780000002,8,6.990003774600001,16.245008772300004,12.000006480000001,19.00001026,8.750004725000002
andes-tower-hills-ski-area,minnesota,2019,4.00000216,2,14.793113303237503,18.27156159077587,36.00001944,2.00000108,2.00000108
andes-tower-hills-ski-area,minnesota,2020,2.00000108,1,15.000008100000002,18.750010125000003,30.000016200000005,2.00000108,2.00000108
andes-tower-hills-ski-area,minnesota,2021,2.00000108,1,16.0217458564625,19.791677354166662,40.0000216,2.00000108,2.00000108
andes-tower-hills-ski-area,minnesota,2022,0.0,0,22.6818281930625,21.405081488807685,40.0000216,0.0,
angel-fire-resort,new-mexico,2012,110.0000594,26,14.294648467137502,14.161108837470833,34.00001836,14.000007560000002,4.230771515384616
angel-fire-resort,new-mexico,2013,78.00004212000002,24,13.627502437587502,13.7075579160794,33.00001782,8.00000432,3.250001755000001
angel-fire-resort,new-mexico,2014,161.00008694,29,22.139893845299998,21.82374450370968,76.00004104,15.000008100000002,5.551727135862069
angel-fire-resort,new-mexico,2015,132.00007128000001,34,18.0878690194125,18.471535424979844,49.00002646,12.000006480000001,3.8823550376470592
angel-fire-resort,new-mexico,2016,122.00006588000002,26,10.22667875075,15.040250286972936,30.000016200000005,13.000007020000002,4.692310226153847
angel-fire-resort,new-mexico,2017,50.000027,16,7.428576846075001,6.972421347523078,20.0000108,7.000003780000001,3.1250016875
angel-fire-resort,new-mexico,2018,150.00008100000002,40,15.744723069075,13.998584748171773,59.00003186000001,13.000007020000002,3.7500020250000006
angel-fire-resort,new-mexico,2019,144.00007776,38,21.4480381567375,21.61862234205559,48.000025920000006,16.00000864,3.7894757305263163
angel-fire-resort,new-mexico,2020,136.00007344,34,15.2416765375875,14.665484109833333,39.00002106,12.000006480000001,4.00000216
angel-fire-resort,new-mexico,2021,110.0000594,26,10.610074627075,10.331226777016134,24.000012960000003,14.000007560000002,4.230771515384616
angel-fire-resort,new-mexico,2022,162.00008748000002,43,17.327002466812502,16.9492213688231,51.00002754,20.0000108,3.7674438948837214
anthony-lakes-mountain-resort,oregon,2012,223.00012042000003,43,37.73476447125,36.84448994209678,78.00004212,18.00000972,5.186049312093024
anthony-lakes-mountain-resort,oregon,2013,134.00007236000002,40,29.364932195637504,32.251601517237894,63.00003402000001,8.00000432,3.3500018090000006
anthony-lakes-mountain-resort,oregon,2014,76.00004104000001,24,29.5599519859875,28.656717365609012,50.000027,10.0000054,3.1666683766666672
anthony-lakes-mountain-resort,oregon,2015,128.00006912,35,39.44888941262499,36.624260251051446,85.0000459,15.000008100000002,3.657144832
anthony-lakes-mountain-resort,oregon,2016,72.00003888,21,11.287161606875001,33.621733842000985,57.00003078,7.000003780000001,3.42857328
anthony-lakes-mountain-resort,oregon,2017,131.00007074,30,28.676954461925,27.830861802850812,66.00003564,13.000007020000002,4.366669024666667
anthony-lakes-mountain-resort,oregon,2018,121.00006534000002,31,35.7815203062625,34.19818696517949,85.0000459,21.000011340000004,3.903227914193549
anthony-lakes-mountain-resort,oregon,2019,146.00007884000001,30,28.675852099125002,27.168903560088893,87.00004698000001,16.00000864,4.866669294666667
anthony-lakes-mountain-resort,oregon,2020,67.00003618000001,27,33.3068339305625,34.20835180583333,80.0000432,9.00000486,2.4814828214814817
anthony-lakes-mountain-resort,oregon,2021,124.00006696000003,28,31.897753445250004,28.999842226886013,64.00003456,15.000008100000002,4.428573820000001
anthony-lakes-mountain-resort,oregon,2022,239.00012906000003,55,43.012405116450005,42.80038394545152,107.00005777999999,13.000007020000002,4.3454568920000005
appalachian-ski-mtn,north-carolina,2012,7.000003780000001,5,17.3765694227125,31.77152061283307,60.00003240000001,3.0000016200000004,1.4000007560000003
appalachian-ski-mtn,north-carolina,2013,34.00001836,10,19.227426721387502,36.20157911532108,53.00002862,12.000006480000001,3.400001836
appalachian-ski-mtn,north-carolina,2014,8.00000432,3,23.5117056097,41.1812553540267,55.0000297,4.00000216,2.6666681066666666
appalachian-ski-mtn,north-carolina,2015,39.00002106,13,15.7678579240875,25.512729294107757,57.00003078,8.00000432,3.00000162
appalachian-ski-mtn,north-carolina,2016,43.000023219999996,13,13.777640313937502,22.53865987098924,38.00002052,6.000003240000001,3.3076940938461536
appalachian-ski-mtn,north-carolina,2017,14.000007560000002,5,22.507394043750004,28.50727392486235,105.0000567,7.000003780000001,2.8000015120000006
appalachian-ski-mtn,north-carolina,2018,23.00001242,4,23.3578915502625,38.392455447736566,105.0000567,18.00000972,5.750003105
appalachian-ski-mtn,north-carolina,2019,2.00000108,1,21.160454340025,26.078072889286656,55.0000297,2.00000108,2.00000108
appalachian-ski-mtn,north-carolina,2020,2.00000108,1,24.864796891550004,35.644606142663825,74.00003996000001,2.00000108,2.00000108
appalachian-ski-mtn,north-carolina,2021,19.00001026,5,24.198487476625,40.784580612422815,70.00003780000002,12.000006480000001,3.800002052
appalachian-ski-mtn,north-carolina,2022,149.00008046000002,17,31.045380937725,45.36472229913463,104.00005616000001,48.000025920000006,8.764710615294119
apple-mountain,michigan,2012,18.00000972,4,9.8325200733375,9.050295410098174,34.00001836,10.0000054,4.50000243
apple-mountain,michigan,2013,36.00001944,16,19.363489786987504,16.82775420060067,48.000025920000006,6.000003240000001,2.250001215
apple-mountain,michigan,2014,13.00000702,6,7.419359321412501,12.959684417580645,18.00000972,6.000003240000001,2.1666678366666665
